NAMESPACE           LAST SEEN   TYPE      REASON               OBJECT                                                            MESSAGE
argocd              50m         Normal    Started              pod/argocd-notifications-controller-b48df5667-vnzdj               Started container argocd-notifications-controller
argocd              48m         Normal    Created              pod/argocd-applicationset-controller-684459d45b-rxhcp             Created container: argocd-applicationset-controller
argocd              50m         Normal    Started              pod/argocd-redis-6664bd4d8c-64lbr                                 Started container secret-init
argocd              50m         Normal    Created              pod/argocd-server-85c666f59b-hdr94                                Created container: argocd-server
argocd              50m         Normal    Pulled               pod/argocd-server-85c666f59b-hdr94                                Successfully pulled image "quay.io/argoproj/argocd:v3.3.2" in 256ms (256ms including waiting)
argocd              50m         Normal    Created              pod/argocd-application-controller-0                               Created container: argocd-application-controller
argocd              50m         Normal    Pulled               pod/argocd-application-controller-0                               Successfully pulled image "quay.io/argoproj/argocd:v3.3.2" in 958ms (958ms including waiting)
argocd              50m         Normal    Started              pod/argocd-repo-server-66ccd878-j6rr2                             Started container argocd-repo-server
argocd              50m         Normal    Started              pod/argocd-server-85c666f59b-hdr94                                Started container argocd-server
argocd              50m         Normal    Pulling              pod/argocd-redis-6664bd4d8c-64lbr                                 Pulling image "public.ecr.aws/docker/library/redis:8.2.3-alpine"
argocd              50m         Normal    Pulling              pod/argocd-dex-server-796965b6dd-9nwv5                            Pulling image "ghcr.io/dexidp/dex:v2.43.0"
argocd              50m         Normal    Started              pod/argocd-application-controller-0                               Started container argocd-application-controller
argocd              50m         Normal    Pulling              pod/argocd-repo-server-66ccd878-j6rr2                             Pulling image "quay.io/argoproj/argocd:v3.3.2"
argocd              50m         Normal    Pulled               pod/argocd-repo-server-66ccd878-j6rr2                             Successfully pulled image "quay.io/argoproj/argocd:v3.3.2" in 78ms (78ms including waiting)
argocd              50m         Normal    Created              pod/argocd-repo-server-66ccd878-j6rr2                             Created container: argocd-repo-server
argocd              50m         Normal    Pulled               pod/argocd-dex-server-796965b6dd-9nwv5                            Successfully pulled image "ghcr.io/dexidp/dex:v2.43.0" in 2.64s (2.64s including waiting)
argocd              50m         Normal    Pulled               pod/argocd-redis-6664bd4d8c-64lbr                                 Successfully pulled image "public.ecr.aws/docker/library/redis:8.2.3-alpine" in 2.275s (2.275s including waiting)
argocd              50m         Normal    Created              pod/argocd-dex-server-796965b6dd-9nwv5                            Created container: dex
argocd              50m         Normal    Started              pod/argocd-redis-6664bd4d8c-64lbr                                 Started container redis
argocd              50m         Normal    Created              pod/argocd-redis-6664bd4d8c-64lbr                                 Created container: redis
argocd              50m         Normal    Started              pod/argocd-dex-server-796965b6dd-9nwv5                            Started container dex
argocd              48m         Normal    Pulled               pod/argocd-applicationset-controller-684459d45b-rxhcp             Successfully pulled image "quay.io/argoproj/argocd:v3.3.2" in 115ms (115ms including waiting)
argocd              42m         Normal    ResourceUpdated      application/firewall                                              Updated health status:  -> Healthy
argocd              42m         Normal    ResourceUpdated      application/firewall                                              Updated sync status:  -> Unknown
argocd              42m         Normal    ResourceUpdated      application/policies                                              Updated health status:  -> Healthy
argocd              42m         Normal    ResourceUpdated      application/policies                                              Updated sync status:  -> Unknown
argocd              39m         Normal    ResourceUpdated      application/firewall                                              Updated health status: Healthy -> Unknown
argocd              39m         Normal    ResourceUpdated      application/policies                                              Updated health status: Healthy -> Unknown
argocd              37m         Normal    ResourceUpdated      application/firewall                                              Updated health status: Unknown -> Healthy
argocd              37m         Normal    ResourceUpdated      application/policies                                              Updated health status: Unknown -> Healthy
argocd              14m         Normal    ResourceUpdated      application/policies                                              Updated sync status: Unknown -> OutOfSync
argocd              14m         Normal    OperationStarted     application/policies                                              Initiated automated sync to [dff1234fa117d3524ccea0ffbdb2f82d08333929]
argocd              9m54s       Normal    ResourceUpdated      application/firewall                                              Updated health status: Healthy -> Missing
argocd              9m54s       Normal    OperationStarted     application/firewall                                              Initiated automated sync to [cf912680ceb2758e51e09f2bcee8b56f8e79933e]
argocd              9m54s       Normal    ResourceUpdated      application/firewall                                              Updated sync status: Unknown -> OutOfSync
argocd              9m37s       Normal    OperationCompleted   application/policies                                              Sync operation to dff1234fa117d3524ccea0ffbdb2f82d08333929 succeeded
argocd              9m37s       Normal    ResourceUpdated      application/policies                                              Updated sync status: OutOfSync -> Synced
monitoring          7m15s       Normal    Pulling              pod/kps-kube-prometheus-stack-admission-create-bzjrb              Pulling image "ghcr.io/jkroepke/kube-webhook-certgen:1.7.8"
monitoring          7m15s       Normal    SuccessfulCreate     job/kps-kube-prometheus-stack-admission-create                    Created pod: kps-kube-prometheus-stack-admission-create-bzjrb
monitoring          7m15s       Normal    Scheduled            pod/kps-kube-prometheus-stack-admission-create-bzjrb              Successfully assigned monitoring/kps-kube-prometheus-stack-admission-create-bzjrb to ip-10-0-1-224.ec2.internal
monitoring          7m14s       Normal    Created              pod/kps-kube-prometheus-stack-admission-create-bzjrb              Created container: create
monitoring          7m14s       Normal    Pulled               pod/kps-kube-prometheus-stack-admission-create-bzjrb              Successfully pulled image "ghcr.io/jkroepke/kube-webhook-certgen:1.7.8" in 1.007s (1.007s including waiting)
monitoring          7m14s       Normal    Started              pod/kps-kube-prometheus-stack-admission-create-bzjrb              Started container create
monitoring          7m11s       Normal    Completed            job/kps-kube-prometheus-stack-admission-create                    Job completed
monitoring          7m10s       Normal    SuccessfulCreate     replicaset/kps-kube-state-metrics-5bf8d94859                      Created pod: kps-kube-state-metrics-5bf8d94859-mlvf6
monitoring          7m10s       Normal    Scheduled            pod/kps-prometheus-node-exporter-q2wjn                            Successfully assigned monitoring/kps-prometheus-node-exporter-q2wjn to ip-10-0-1-224.ec2.internal
monitoring          7m10s       Normal    SuccessfulCreate     daemonset/kps-prometheus-node-exporter                            Created pod: kps-prometheus-node-exporter-jnq7f
monitoring          7m10s       Normal    ScalingReplicaSet    deployment/kps-grafana                                            Scaled up replica set kps-grafana-9f56f7576 to 1
monitoring          7m10s       Normal    SuccessfulCreate     daemonset/kps-prometheus-node-exporter                            Created pod: kps-prometheus-node-exporter-q2wjn
